color_code,red,green,blue,name,family,cellular,roller,panel_track,sheer,drapery,valance_cornice,soft_roman,insulating_blinds,filename,composite_filename
729,227,204,206,PRINCESS PINK,Pink,1,1,1,1,1,1,1,1,,
730,216,184,194,RASBERRY SMOOTHIE,Pink,1,1,1,1,1,1,1,1,,
731,200,163,173,MISTED ROSE,Pink,1,1,1,0,1,1,1,1,,
732,185,142,154,CANDY HEARTS,Pink,1,1,1,0,1,1,1,1,,
733,162,117,124,SIMPLE BURGUNDY,Pink,1,1,1,0,1,1,1,1,,
734,204,157,161,FLAMINGO,Pink,1,1,1,0,1,1,1,1,,
735,201,151,152,CHAMPAGNE BLUSH,Pink,1,1,1,0,1,1,1,1,,
736,177,111,116,SPANISH ROSE,Red,1,1,1,0,1,1,1,1,,
737,156,101,100,CORAL BANKS,Red,1,1,1,0,1,1,1,1,,
738,229,212,206,PINK BREEZE,Pink,1,1,1,1,1,1,1,1,,
739,211,179,176,TULIP PETAL,Pink,1,1,1,0,1,1,1,1,,
740,201,159,156,ROSY SANDSTONE,Pink,1,1,1,0,1,1,1,1,,
741,173,126,118,REDSTONE,"Red,Pink",1,1,1,0,1,1,1,1,,
742,161,111,106,BAKED CLAY,"Red,Burgundy",1,1,1,0,1,1,1,1,,
743,210,158,157,CASHMERE PINK,Pink,1,1,1,0,1,1,1,1,,
744,186,125,118,BRONZE CORAL,Red,1,1,1,0,1,1,1,1,,
745,169,109,102,TUSCAN RED,Red,1,1,1,0,1,1,1,1,,
746,193,105,116,CRIMSON,Red,1,1,1,0,1,1,1,1,,
747,172,76,95,POLISHED RED,Red,1,1,1,0,1,1,1,1,,
748,221,181,195,BERRY CRUSH,Pink,1,1,1,1,1,1,1,1,,
749,209,160,175,PINK ROSE,Pink,1,1,1,0,1,1,1,1,,
750,190,127,145,MAY FLOWERS,Pink,1,1,1,0,1,1,1,1,,
751,166,100,115,CORAL HARMONY,Red,1,1,1,0,1,1,1,1,,
752,210,156,190,SORBET,Pink,1,1,1,0,1,1,1,1,,
753,180,96,137,WILD BERRY,Pink,1,1,1,0,1,1,1,1,,
754,230,211,215,TROPICAL ROSE,Pink,1,1,1,1,1,1,1,1,,
755,215,178,200,PINK QUARTZ,Pink,1,1,1,0,1,1,1,1,,
756,182,128,156,FLOWER BED,Pink,1,1,1,0,1,1,1,1,,
757,122,86,100,VINTAGE CLARET,Purple,1,1,1,0,1,1,1,1,,
758,224,205,215,PINK RIBBON,Pink,1,1,1,1,1,1,1,1,,
759,210,180,197,ANGEL KISS,Pink,1,1,1,1,1,1,1,1,,
760,173,124,155,FUCHSIA,Pink,1,1,1,0,1,1,1,1,,
761,142,87,117,ROSEWINE,Purple,1,1,1,0,1,1,1,1,,
762,232,222,225,PALE BLOSSOM,Off White,1,1,1,1,1,1,1,1,,
763,215,197,211,LIGHT LAVENDER,Purple,1,1,1,1,1,1,1,1,,
764,139,107,136,PASSION PLUM,Purple,1,1,1,0,1,1,1,1,,
765,219,209,212,SPRING LILAC,Purple,1,1,1,1,1,1,1,1,,
766,179,132,158,VICTORIAN PINK,Pink,1,1,1,0,1,1,1,1,,
767,202,174,187,VENITIAN ROSE,Pink,1,1,1,0,1,1,1,1,,
768,165,135,169,ENCHANTED PURPLE,Purple,1,1,1,0,1,1,1,1,,
769,197,175,202,VIBRANT ORCHID,Purple,1,1,1,0,1,1,1,1,,
770,185,173,193,IRIS BLISS,Purple,1,1,1,1,1,1,1,1,,
771,180,177,204,VIOLET STONE,Purple,1,1,1,1,1,1,1,1,,
772,205,190,205,SANCTUARY,Purple,1,1,1,1,1,1,1,1,,
773,195,175,196,MUTED MAUVE,Purple,1,1,1,1,1,1,1,1,,
774,179,153,177,HEIRLOOM ROSE,Purple,1,1,1,0,1,1,1,1,,
775,139,113,137,PLUM PERFECT,Purple,1,1,1,0,1,1,1,1,,
776,220,209,219,EARLY SPRING,Purple,1,1,1,1,1,1,1,1,,
777,208,199,211,VIOLET PETAL,Purple,1,1,1,1,1,1,1,1,,
778,124,108,138,CONCORD GRAPE,Purple,1,1,1,0,1,1,1,1,,
779,228,223,234,APRIL SHOWERS,Off White,1,1,1,1,1,1,1,1,,
780,217,205,218,BLISSFUL,Purple,1,1,1,1,1,1,1,1,,
781,177,156,189,CORSAGE,Purple,1,1,1,0,1,1,1,1,,
782,156,128,167,VICTORIAN VIOLET,Purple,1,1,1,0,1,1,1,1,,
783,205,196,221,SPRING IRIS,Purple,1,1,1,1,1,1,1,1,,
784,145,127,154,CHARMING LAVENDER,Purple,1,1,1,0,1,1,1,1,,
785,189,174,214,FRENCH LILAC,Purple,1,1,1,0,1,1,1,1,,
786,207,205,220,VIOLET PEARL,Purple,1,1,1,1,1,1,1,1,,
