state,name,address
Bihar,Shree Krishna Electric,"1St Floor, Sf-108,Chandani Chowk,Fraser Road"
Bihar,Shree Narayani Electricals,"Ac Market Near Cozy Sweets,New Dak Bunglow Road,"
Bihar,Sirdi Sales,"Near Saket Bhawan Shivmandir Road ,Jaiprakash Nagar ,Shivmandir Road ,Jaiprakash Nagar,"
Bihar,The Patna Electric Works,"New Dak Bungalow Road.,Near Brindaban Sweet,"
Bihar,Jain Electricals,"Gulabbagh,Opp Lohapatti,"
Bihar,Pitamber Electric,"Purnea,Pitamber House ,Shardha Colony,"
Bihar,Sunder Trading,"Purnea Ram Raj Chowk, Gulabbagh ,Ram Raj Chowk, Gulabbagh,"
Bihar,Maurya Power Systems Private Limite,"Aakarshan Gali, Bank Road,,Raxaul,"
Bihar,G.D.Steel,"Kadamkuan,Pirmohani,"
Bihar,Dream Enterprises,"G-1,Sipra Shubham Apartment,Tilak Marg,,"
Bihar,Electronic Terminal,"Sandalpur Road, Near Kumhrar Gumti, P.O. Bahadurpur ,Bahadurpur,"
Bihar,Excel Enterprises,"Hotel Fort, Station Road,Near Veena Cinema,"
Bihar,G.D.Steel,"Kadamkuan,Pirmohani,"
Bihar,Globe Electricals,"Umang Palace,Exhibition Road,"
Bihar,Hamd Corporation,"Hamd Corporation,107, Ashiana Tower,Exhibition Road, Patna"
Bihar,Kamlesh Electricals Store,"Chandani Market,Fraser Road,Chandni Electricals Market"
Bihar,Knwteq Concepts Priviate Limited,"Top Floor,R.K.Plaza,Nala Road"
Bihar,Krishna Agency,"Raja Market,Exhibition Road,"
Bihar,Light Corner,"Hari Niwas,Dakbungalow   Patna,"
Bihar,Shri Raj Diesels,"Main Road,Raxaul,East Champaran"
Bihar,Vishal Overseas,"Near State Bank Of India,Main Road,Raxaul"
Bihar,Atul Traders,"New Hasnu Market Complex,G.T. Road,Sasaram       ( Rohtas)"
Bihar,Bambam Electronics,"Nayak Toli Ward N:- 02,Rosera,"
Bihar,Jyoti Electric,"D B Road,Saharsa,"
Bihar,Hanuman Agency,"Sakri Bazar,Sakri,"
Bihar,Ajeet Enterprises,"Tajpur Road Bajopur,Samastipur,"
Bihar,Ars Vision,"Chandan Chowk,Shahpur Undi, Patory,"
Bihar,Basant Traders,"Near Hdfc Bank,Gola Road,,"
Bihar,Shivshakti Stores Private Limited,"Gola Road, Samastipur Infront Of Punjab National Bank ,Infront Of Punjab National Bank,"
Bihar,Sri Krishn Enterprises,"Ward N. 01, Gali N. 02, Dharampur Nistama Punjabi Colony ,Nistama Punjabi Colony,"
Bihar,Tata Commercial,"Tajpur Road,Dharmapur,"
Bihar,Shiv Shakti Enterprises,"Gola Road,,Samastipur,"
Bihar,Subh Laxmi Marketing,"Purab Bazar,,Sarshara,"
Bihar,Mahabir Machinery Stores,"Near Jyoti Transport,Infront Of Janta Transport,"
Bihar,Mahavira Electric Co,"New Dak Bungalow Road,,Near Exhibitiona Road,"
Bihar,Maltika Enterprises,"1St Floor, N-10, Chandani Chowk Market,Fraser Road, Opp Budha Park,"
Bihar,Miraj Electricals,"7-14,Dumrao Place,,Fraser Road,,"
Bihar,Nalanda Electrical Corporation,"3Rd Floor Malihuddin Enclave,Bander Bagicha,Behind Hotel Samrat International"
Bihar,New Patna Sanitary Stores,"Nema Place,Exhibition Road,"
Bihar,Om Prakash Electricals,"Station Road,Jamal Road,,Jamal Road Corner,"
Bihar,Om Prakash Power System Pvt Ltd.,"Near Bank Of India Atm,Jamal Road,"
Bihar,Premier Marketing,"Ground Floor,Neema Place, Exhibition Road,"
Bihar,Ranjit Sales Corporation.,"Brindavan Kunj Exhibition Road ,Exhibition Road,"
Bihar,Riya Bulb Company,"Chailital,Patna,"
Bihar,Sai Electricals,"Opp Saipanchmandir Kankarbagh ,Kankarbagh,"
Bihar,Shree Krishna Electric,"1St Floor, Sf-108,Chandani Chowk,Fraser Road"
Bihar,Shree Narayani Electricals,"Ac Market Near Cozy Sweets,New Dak Bunglow Road,"
